"ASX code","Company name","Listing date","GICs industry group"
"CAD","CAENEUS MINERALS LTD","2000-07-11","Materials"
"CAE","CANNINDAH RESOURCES LIMITED","2005-05-20","Materials"
"CAF","CENTREPOINT ALLIANCE LIMITED","2002-06-25","Diversified Financials"
"CAG","CAPE RANGE LTD","2017-11-30","Software & Services"
"CAI","CALIDUS RESOURCES LIMITED","1987-03-13","Materials"
"CAJ","CAPITOL HEALTH LIMITED","2006-06-09","Health Care Equipment & Services"
"CAM","CLIME CAPITAL LIMITED","2004-02-03","Not Applic"
"CAN","CANN GROUP LIMITED","2017-05-04","Pharmaceuticals, Biotechnology & Life Sciences"
"CAP","CARPENTARIA RESOURCES LTD","2007-11-14","Materials"
"CAQ","CAQ HOLDINGS LIMITED","2005-07-25","Real Estate"
"CAR","CARSALES.COM LIMITED.","2009-09-10","Media & Entertainment"
"CAT","CATAPULT GROUP INTERNATIONAL LTD","2014-12-19","Technology Hardware & Equipment"
"CAU","CRONOS AUSTRALIA LIMITED","2019-11-07","Health Care Equipment & Services"
"CAV","CARNAVALE RESOURCES LIMITED","2007-03-15","Materials"
"CAY","CANYON RESOURCES LIMITED","2010-06-15","Materials"
"CAZ","CAZALY RESOURCES LIMITED","2003-10-31","Materials"
"CBA","COMMONWEALTH BANK OF AUSTRALIA.","1991-09-12","Banks"
"CBE","COBRE LIMITED","2020-01-31","Materials"
"CBL","CONTROL BIONICS LIMITED","2020-12-07","Class Pend"
"CBR","CARBON REVOLUTION LIMITED","2019-11-29","Automobiles & Components"
"CBY","CANTERBURY RESOURCES LIMITED","2019-03-07","Materials"
"CCA","CHANGE FINANCIAL LIMITED","2016-06-30","Software & Services"
"CCE","CARNEGIE CLEAN ENERGY LIMITED","1993-10-26","Utilities"
"CCG","COMMS GROUP LTD","2017-12-21","Software & Services"
"CCJ","COUNTY INTERNATIONAL LIMITED","2011-11-15","Energy"
"CCL","COCA-COLA AMATIL LIMITED","1970-01-01","Food, Beverage & Tobacco"
"CCP","CREDIT CORP GROUP LIMITED","2000-09-04","Diversified Financials"
"CCR","CREDIT CLEAR LIMITED","2020-10-27","Software & Services"
"CCV","CASH CONVERTERS INTERNATIONAL","1997-02-07","Diversified Financials"
"CCX","CITY CHIC COLLECTIVE LIMITED","1998-05-28","Retailing"
"CCZ","CASTILLO COPPER LIMITED","2010-12-14","Materials"
"CD1","CD PRIVATE EQUITY FUND I","2012-08-14","Not Applic"
"CD2","CD PRIVATE EQUITY FUND II","2013-04-09","Not Applic"
"CD3","CD PRIVATE EQUITY FUND III","2016-07-27","Not Applic"
"CDA","CODAN LIMITED","2003-11-27","Technology Hardware & Equipment"
"CDD","CARDNO LIMITED","2004-05-20","Commercial & Professional Services"
"CDH","CHONGHERR INVESTMENTS LTD","1993-08-10","Materials"
"CDM","CADENCE CAPITAL LIMITED","2006-12-05","Not Applic"
"CDP","CARINDALE PROPERTY TRUST","1996-11-28","Real Estate"
"CDT","CASTLE MINERALS LIMITED","2006-05-02","Materials"
"CDV","CARDINAL RESOURCES LIMITED","2011-08-17","Materials"
"CDX","CARDIEX LIMITED","2005-11-09","Health Care Equipment & Services"
"CDY","CELLMID LIMITED","2005-12-09","Pharmaceuticals, Biotechnology & Life Sciences"
"CE1","CALIMA ENERGY LIMITED","2006-07-28","Energy"
"CEL","CHALLENGER EXPLORATION LIMITED","2007-11-07","Energy"
"CEN","CONTACT ENERGY LIMITED","2015-09-24","Utilities"
"CF1","COMPLII FINTECH SOLUTIONS LTD","2001-12-18","Software & Services"
"CFO","CFOAM LIMITED","2016-10-26","Capital Goods"
"CG1","CARBONXT GROUP LIMITED","2018-01-23","Materials"
"CGA","CONTANGO ASSET MANAGEMENT LIMITED","2004-09-30","Diversified Financials"
"CGB","CANN GLOBAL LIMITED","2008-01-14","Pharmaceuticals, Biotechnology & Life Sciences"
"CGC","COSTA GROUP HOLDINGS LIMITED","2015-07-24","Food, Beverage & Tobacco"
"CGF","CHALLENGER LIMITED","2003-12-23","Diversified Financials"
"CGL","THE CITADEL GROUP LIMITED","2014-11-13","Software & Services"
"CGM","COUGAR METALS NL","2003-12-16","Materials"
"CGN","CRATER GOLD MINING LIMITED","2002-11-01","Materials"
"CGO","CPT GLOBAL LIMITED","2000-09-08","Software & Services"
"CGS","COGSTATE LTD","2004-02-13","Health Care Equipment & Services"
"CHA","CHAUCER ENERGY LIMITED",,"Class Pend"
"CHC","CHARTER HALL GROUP","2005-06-10","Real Estate"
"CHK","COHIBA MINERALS LIMITED","2012-02-01","Materials"
"CHM","CHIMERIC THERAPEUTICS LIMITED",,"Class Pend"
"CHN","CHALICE MINING LIMITED","2006-03-24","Materials"
"CHZ","CHESSER RESOURCES LIMITED","2007-05-29","Materials"
"CI1","CREDIT INTELLIGENCE LTD","2008-07-10","Commercial & Professional Services"
"CIA","CHAMPION IRON LIMITED","2007-06-08","Materials"
"CIE","CONTANGO INCOME GENERATOR  LIMITED","2015-08-14","Not Applic"
"CII","CI RESOURCES LIMITED","1987-07-24","Materials"
"CIM","CIMIC GROUP LIMITED","1962-12-11","Capital Goods"
"CIN","CARLTON INVESTMENTS LIMITED","1970-06-30","Not Applic"
"CIO","CONNECTED IO LIMITED","1984-08-16","Technology Hardware & Equipment"
"CIP","CENTURIA INDUSTRIAL REIT","2012-12-13","Real Estate"
"CIW","CLIME INVESTMENT MANAGEMENT LTD","2000-12-15","Diversified Financials"
"CKA","COKAL LIMITED","2000-04-17","Materials"
"CKF","COLLINS FOODS LIMITED","2011-08-04","Consumer Services"
"CL1","CLASS LIMITED","2015-12-18","Software & Services"
"CL8","COLLABORATE CORPORATION LIMITED","1996-09-09","Retailing"
"CLA","CELSIUS RESOURCES LIMITED.","1988-03-24","Materials"
"CLB","CANDY CLUB HOLDINGS LIMITED","2019-02-19","Food & Staples Retailing"
"CLE","CYCLONE METALS LIMITED","2001-06-07","Materials"
"CLF","CONCENTRATED LEADERS FUND LIMITED","1987-09-17","Not Applic"
"CLH","COLLECTION HOUSE LIMITED","2000-10-04","Diversified Financials"
"CLI","CROPLOGIC LIMITED","2017-09-12","Commercial & Professional Services"
"CLQ","CLEAN TEQ HOLDINGS LIMITED","2007-11-09","Commercial & Professional Services"
"CLT","CELLNET GROUP LIMITED","1999-11-17","Technology Hardware & Equipment"
"CLU","CLUEY LTD","2020-12-09","Consumer Services"
"CLV","CLOVER CORPORATION LIMITED","1999-11-30","Materials"
"CLW","CHARTER HALL LONG WALE REIT","2016-11-08","Real Estate"
"CLX","CTI LOGISTICS LIMITED","1987-12-02","Transportation"
"CLZ","CLASSIC MINERALS LTD","2013-05-24","Materials"
"CM8","CROWD MEDIA HOLDINGS LIMITED","1999-12-16","Media & Entertainment"
"CMC","CHINA MAGNESIUM CORPORATION LIMITED","2010-11-09","Materials"
"CMD","CASSIUS MINING LIMITED","2006-08-10","Materials"
"CML","CHASE MINING CORPORATION LIMITED","2007-11-15","Materials"
"CMM","CAPRICORN METALS LTD","2008-07-07","Materials"
"CMP","COMPUMEDICS LIMITED","2000-12-21","Health Care Equipment & Services"
"CMW","CROMWELL PROPERTY GROUP","1973-02-22","Real Estate"
"CNB","CARNABY RESOURCES LIMITED","2016-08-30","Materials"
"CNI","CENTURIA CAPITAL GROUP","2002-03-26","Real Estate"
"CNJ","CONICO LTD","2007-06-18","Materials"
"CNL","CELAMIN HOLDINGS LIMITED","2009-12-17","Materials"
"CNU","CHORUS LIMITED","2011-11-21","Telecommunication Services"
"CNW","CIRRUS NETWORKS HOLDINGS LIMITED","2004-02-10","Software & Services"
"COB","COBALT BLUE HOLDINGS LIMITED","2017-02-02","Materials"
"COD","CODA MINERALS LTD","2020-10-28","Materials"
"COE","COOPER ENERGY LIMITED","2002-03-13","Energy"
"COF","CENTURIA OFFICE REIT","2014-12-10","Real Estate"
"COG","COG FINANCIAL SERVICES LIMITED","2003-01-28","Diversified Financials"
"COH","COCHLEAR LIMITED","1995-12-04","Health Care Equipment & Services"
"COI","COMET RIDGE LIMITED","2004-04-16","Energy"
"COL","COLES GROUP LIMITED.","2018-11-21","Food & Staples Retailing"
"COO","CORUM GROUP LIMITED","1971-07-28","Software & Services"
"COS","COSOL LIMITED","2020-01-24","Software & Services"
"COY","COPPERMOLY LIMITED","2008-01-31","Materials"
"CP1","CANNPAL ANIMAL THERAPEUTICS LIMITED","2017-10-25","Pharmaceuticals, Biotechnology & Life Sciences"
"CPH","CRESO PHARMA LIMITED","2016-10-20","Pharmaceuticals, Biotechnology & Life Sciences"
"CPN","CASPIN RESOURCES LIMITED","2020-11-25","Materials"
"CPT","CIPHERPOINT LIMITED","2007-01-03","Software & Services"
"CPU","COMPUTERSHARE LIMITED.","1994-05-27","Software & Services"
"CPV","CLEARVUE TECHNOLOGIES LIMITED","2018-05-25","Capital Goods"
"CQE","CHARTER HALL SOCIAL INFRASTRUCTURE REIT","2003-05-22","Real Estate"
"CQR","CHARTER HALL RETAIL REIT","1995-11-15","Real Estate"
"CR1","CONSTELLATION RESOURCES LIMITED","2018-07-30","Materials"
"CRB","CARBINE RESOURCES LIMITED","2007-03-16","Materials"
"CRL","COMET RESOURCES LIMITED","1994-03-02","Materials"
"CRM","CARBON MINERALS LIMITED","1980-12-31","Energy"
"CRN","CORONADO GLOBAL RESOURCES INC.","2018-10-23","Materials"
"CRO","CIRRALTO LIMITED","2002-05-29","Software & Services"
"CRS","CAPRICE RESOURCES LTD","2018-12-05","Materials"
"CRW","CASHREWARDS LIMITED","2020-12-02","Class Pend"
"CSD","CONSOLIDATED TIN MINES LIMITED","2008-02-26","Materials"
"CSE","COPPER STRIKE LIMITED","2004-11-24","Materials"
"CSL","CSL LIMITED","1994-06-08","Pharmaceuticals, Biotechnology & Life Sciences"
"CSR","CSR LIMITED","1962-03-31","Materials"
"CSS","CLEAN SEAS SEAFOOD LIMITED","2005-12-12","Food, Beverage & Tobacco"
"CST","CASTILE RESOURCES LTD","2020-02-14","Materials"
"CSX","CLEANSPACE HOLDINGS LIMITED","2020-10-23","Health Care Equipment & Services"
"CT1","CONSTELLATION TECHNOLOGIES LIMITED","1987-10-08","Technology Hardware & Equipment"
"CTD","CORPORATE TRAVEL MANAGEMENT LIMITED","2010-12-15","Consumer Services"
"CTE","CRYOSITE LIMITED","2002-05-09","Pharmaceuticals, Biotechnology & Life Sciences"
"CTM","CENTAURUS METALS LIMITED","1989-01-12","Materials"
"CTO","CITIGOLD CORPORATION LIMITED","1993-12-23","Materials"
"CTP","CENTRAL PETROLEUM LIMITED","2006-03-07","Energy"
"CUE","CUE ENERGY RESOURCES LIMITED","1995-12-11","Energy"
"CUL","CULLEN RESOURCES LIMITED","1988-11-23","Materials"
"CUP","COUNTPLUS LIMITED","2010-12-22","Commercial & Professional Services"
"CUV","CLINUVEL PHARMACEUTICALS LIMITED","2001-02-13","Pharmaceuticals, Biotechnology & Life Sciences"
"CV1","CV CHECK LTD","2015-09-08","Software & Services"
"CVC","CVC LIMITED","1985-06-27","Diversified Financials"
"CVF","CONTRARIAN VALUE FUND LIMITED","2015-01-05","Not Applic"
"CVL","CIVMEC LIMITED","2018-06-22","Capital Goods"
"CVN","CARNARVON PETROLEUM LIMITED","1984-08-16","Energy"
"CVS","CERVANTES CORPORATION LIMITED","2002-11-06","Materials"
"CVV","CARAVEL MINERALS LIMITED","2006-11-03","Materials"
"CVW","CLEARVIEW WEALTH LIMITED","2003-12-11","Diversified Financials"
"CWL","CONSOLIDATED FINANCIAL HOLDINGS LIMITED","2007-10-23","Software & Services"
"CWN","CROWN RESORTS LIMITED","2007-12-03","Consumer Services"
"CWP","CEDAR WOODS PROPERTIES LIMITED","1994-08-31","Real Estate"
"CWX","CARAWINE RESOURCES LIMITED","2017-12-14","Materials"
"CWY","CLEANAWAY WASTE MANAGEMENT LIMITED","2005-05-03","Commercial & Professional Services"
"CWZ","CASHWERKZ LIMITED","1987-01-14","Diversified Financials"
"CXL","CALIX LIMITED","2018-07-20","Materials"
"CXM","CENTREX METALS LIMITED","2006-07-19","Materials"
"CXO","CORE LITHIUM LTD","2011-02-11","Materials"
"CXU","CAULDRON ENERGY LIMITED","2005-01-28","Energy"
"CXX","CRADLE RESOURCES LIMITED","2011-09-16","Materials"
"CXZ","CONNEXION TELEMATICS LTD","1974-01-01","Software & Services"
"CY5","CYGNUS GOLD LIMITED","2018-01-15","Materials"
"CYC","CYCLOPHARM LIMITED","2007-01-18","Health Care Equipment & Services"
"CYG","COVENTRY GROUP LIMITED","1966-01-27","Capital Goods"
"CYL","CATALYST METALS LIMITED","2006-07-26","Materials"
"CYM","CYPRIUM METALS LIMITED","1985-04-26","Materials"
"CYP","CYNATA THERAPEUTICS LIMITED","2007-12-20","Pharmaceuticals, Biotechnology & Life Sciences"
"CYQ","CYCLIQ GROUP LTD","2007-11-21","Consumer Durables & Apparel"
"CZLDB","CONSOLIDATED ZINC LIMITED","2006-06-19","Materials"
"CZN","CORAZON MINING LIMITED","2005-06-30","Materials"
"CZR","CZR RESOURCES LTD","2006-08-29","Materials"
"D2O","DUXTON WATER LIMITED","2016-09-16","Utilities"
"DAF","DISCOVERY AFRICA LIMITED","2011-09-22","Materials"
"DAU","DAMPIER GOLD LIMITED","2010-08-23","Materials"
"DAV","DAVENPORT RESOURCES LIMITED","2017-01-20","Materials"
"DBF","DUXTON BROADACRE FARMS LIMITED","2018-02-08","Food, Beverage & Tobacco"
"DBI","DALRYMPLE BAY INFRASTRUCTURE LIMITED","2020-12-08","Transportation"
"DC2","DC TWO LIMITED","2020-11-10","Class Pend"
"DCC","DIGITALX LIMITED","1989-02-06","Software & Services"
"DCG","DECMIL GROUP LIMITED","2005-04-22","Capital Goods"
"DCL","DOMACOM LIMITED","2016-11-07","Diversified Financials"
"DCN","DACIAN GOLD LIMITED","2012-11-14","Materials"
"DCX","DISCOVEX RESOURCES LIMITED","2007-12-13","Materials"
"DDB","DYNAMIC DRILL AND BLAST HOLDINGS LIMITED","2020-08-06","Capital Goods"
"DDD","3D RESOURCES LIMITED","2007-03-21","Materials"
"DDR","DICKER DATA LIMITED","2011-01-24","Technology Hardware & Equipment"
"DDT","DATADOT TECHNOLOGY LIMITED","2005-01-12","Automobiles & Components"
"DEG","DE GREY MINING LIMITED","2002-07-03","Materials"
"DEM","DE.MEM LIMITED","2017-04-07","Utilities"
"DEV","DEVEX RESOURCES LIMITED","2000-10-03","Energy"
"DEX","DUKE EXPLORATION LIMITED","2020-11-10","Materials"
"DGH","DESANE GROUP HOLDINGS LIMITED","1987-09-04","Real Estate"
"DGO","DGO GOLD LIMITED","2007-12-21","Materials"
"DGR","DGR GLOBAL LIMITED","2003-08-21","Materials"
"DHG","DOMAIN HOLDINGS AUSTRALIA LIMITED.","2017-11-16","Media & Entertainment"
"DJW","DJERRIWARRH INVESTMENTS LIMITED","1995-06-28","Not Applic"
"DKM","DUKETON MINING LIMITED","2014-08-04","Materials"
"DLC","DELECTA LIMITED","1987-01-15","Retailing"
"DLT","DELTA DRONE INTERNATIONAL LIMITED","2018-06-18","Technology Hardware & Equipment"
"DMC","DESIGN MILK CO LIMITED","1997-03-24","Retailing"
"DME","DOME GOLD MINES LIMITED","2013-10-22","Materials"
"DMG","DRAGON MOUNTAIN GOLD LIMITED","2007-07-31","Materials"
"DMP","DOMINO'S PIZZA ENTERPRISES LIMITED","2005-05-16","Consumer Services"
"DNA","DONACO INTERNATIONAL LIMITED","2004-12-23","Consumer Services"
"DNK","DANAKALI LIMITED","2003-10-17","Materials"
"DOC","DOCTOR CARE ANYWHERE GROUP PLC","2020-12-04","Class Pend"
"DOR","DORIEMUS PLC","2017-09-29","Energy"
"DOU","DOUUGH LIMITED","2004-06-15","Telecommunication Services"
"DOW","DOWNER EDI LIMITED","1990-12-20","Commercial & Professional Services"
"DRE","DREADNOUGHT RESOURCES LTD","2006-10-31","Materials"
"DRO","DRONESHIELD LIMITED","2016-06-22","Capital Goods"
"DRR","DETERRA ROYALTIES LIMITED","2020-10-23","Materials"
"DRX","DIATREME RESOURCES LIMITED","2005-06-22","Materials"
"DSE","DROPSUITE LIMITED","1985-12-12","Software & Services"
"DSK","DUSK GROUP LIMITED","2020-11-02","Retailing"
"DTC","DAMSTRA HOLDINGS LIMITED","2019-10-16","Software & Services"
"DTI","DTI GROUP LTD","2014-12-09","Technology Hardware & Equipment"
"DTL","DATA#3 LIMITED","1997-12-23","Software & Services"
"DTM","DART MINING NL","2007-05-10","Materials"
"DTR","DATELINE RESOURCES LIMITED","2011-06-23","Materials"
"DTS","DRAGONTAIL SYSTEMS LIMITED","2016-12-20","Software & Services"
"DTZ","DOTZ NANO LIMITED","2007-12-13","Semiconductors & Semiconductor Equipment"
"DUB","DUBBER CORPORATION LIMITED","2000-06-30","Software & Services"
"DUG","DUG TECHNOLOGY LTD","2020-08-12","Software & Services"
"DUI","DIVERSIFIED UNITED INVESTMENT LIMITED","1991-12-19","Not Applic"
"DUR","DURATEC LIMITED","2020-11-04","Capital Goods"
"DVL","DORSAVI LTD","2013-12-11","Pharmaceuticals, Biotechnology & Life Sciences"
"DVN","DEVINE LIMITED","1993-11-25","Real Estate"
"DW8","DIGITAL WINE VENTURES LIMITED","2001-04-04","Retailing"
"DWS","DWS LIMITED","2006-06-15","Software & Services"
"DXB","DIMERIX LIMITED","1993-02-04","Pharmaceuticals, Biotechnology & Life Sciences"
"DXN","DXN LIMITED","2018-04-11","Software & Services"
"DXS","DEXUS","2004-10-06","Real Estate"
"DYL","DEEP YELLOW LIMITED","1985-12-19","Energy"
"E25","ELEMENT 25 LIMITED","2006-11-09","Materials"
"E2E","EON NRG LIMITED","2011-01-21","Energy"
"E2M","E2 METALS LIMITED","2017-04-19","Materials"
"EAF","EVANS & PARTNERS ASIA FUND","2018-05-17","Not Applic"
"EAI","ELLERSTON ASIAN INVESTMENTS LIMITED","2015-09-15","Not Applic"
"EAS","EASTON INVESTMENTS LIMITED","2005-08-02","Diversified Financials"
"EAX","ENERGY ACTION LIMITED","2011-10-13","Commercial & Professional Services"
"EBG","EUMUNDI GROUP LIMITED","1989-12-07","Consumer Services"
"EBO","EBOS GROUP LIMITED","2013-12-06","Health Care Equipment & Services"
"ECF","ELANOR COMMERCIAL PROPERTY FUND","2019-12-06","Real Estate"
"ECG","ECARGO HOLDINGS LIMITED","2014-11-28","Commercial & Professional Services"
"ECL","EXCELSIOR CAPITAL LTD","1993-04-22","Capital Goods"
"ECP","ECP EMERGING GROWTH LIMITED","2014-08-14","Not Applic"
"ECS","ECS BOTANICS HOLDINGS LTD","1986-03-13","Pharmaceuticals, Biotechnology & Life Sciences"
"ECT","ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.","1986-02-05","Commercial & Professional Services"
"ECX","ECLIPX GROUP LIMITED","2015-04-22","Diversified Financials"
"EDC","EILDON CAPITAL GROUP","2017-02-28","Diversified Financials"
"EDE","EDEN INNOVATIONS LTD","2006-06-06","Energy"
"EEG","EMPIRE ENERGY GROUP LIMITED","1984-08-30","Energy"
"EER","EAST ENERGY RESOURCES LIMITED","2007-12-19","Energy"
"EFE","EASTERN IRON LIMITED","2008-05-16","Materials"
"EFF","EVANS & PARTNERS AUSTRALIAN FLAGSHIP FUND","2018-06-27","Not Applic"
"EGD","EVANS & PARTNERS GLOBAL DISRUPTION FUND","2017-08-01","Not Applic"
"EGF","EVANS & PARTNERS GLOBAL FLAGSHIP FUND","2012-10-11","Not Applic"
"EGG","ENERO GROUP LIMITED","2004-04-30","Media & Entertainment"
"EGH","EUREKA GROUP HOLDINGS LIMITED","2004-07-01","Real Estate"
"EGL","ENVIRONMENTAL GROUP LIMITED (THE)","1981-02-12","Capital Goods"
"EGN","ENGENCO LIMITED","2006-12-14","Capital Goods"
"EGR","ECOGRAF LIMITED","2010-10-29","Materials"
"EGY","ENERGY TECHNOLOGIES LIMITED","1992-10-22","Capital Goods"
"EHE","ESTIA HEALTH LIMITED","2014-12-05","Health Care Equipment & Services"
"EHH","EAGLE HEALTH HOLDINGS LIMITED","2017-07-03","Household & Personal Products"
"EHL","EMECO HOLDINGS LIMITED","2006-07-28","Capital Goods"
"ELD","ELDERS LIMITED","1981-06-30","Food, Beverage & Tobacco"
"ELE","ELMORE LTD","1998-02-25","Materials"
"ELO","ELMO SOFTWARE LIMITED","2017-06-29","Software & Services"
"ELS","ELSIGHT LIMITED","2017-06-08","Technology Hardware & Equipment"
"ELT","ELEMENTOS LIMITED","2009-12-23","Materials"
"EM1","EMERGE GAMING LIMITED","1971-06-09","Media & Entertainment"
"EM2","EAGLE MOUNTAIN MINING LIMITED","2018-03-16","Materials"
"EMB","EMBELTON LIMITED","1974-01-01","Capital Goods"
"EMD","EMYRIA LIMITED","2020-02-12","Health Care Equipment & Services"
"EME","ENERGY METALS LTD","2005-09-09","Energy"
"EMH","EUROPEAN METALS HOLDINGS LIMITED","2012-07-19","Materials"
"EML","EML PAYMENTS LIMITED","2006-01-18","Software & Services"
"EMN","EURO MANGANESE INC","2018-10-02","Materials"
"EMP","EMPEROR ENERGY LIMITED","1987-06-05","Energy"
"EMR","EMERALD RESOURCES NL","1994-07-22","Materials"
"EMT","EMETALS LIMITED","2010-10-26","Not Applic"
"EMU","EMU NL","2008-02-27","Materials"
"EMUCA","EMU NL","2008-02-27","Materials"
"EMV","EMVISION MEDICAL DEVICES LTD","2018-12-13","Health Care Equipment & Services"
"EN1","ENGAGE:BDR LIMITED","2017-12-14","Media & Entertainment"
"ENA","ENSURANCE LTD","2011-09-23","Insurance"
"ENN","ELANOR INVESTORS GROUP","2014-07-11","Consumer Services"
"ENR","ENCOUNTER RESOURCES LIMITED","2006-03-24","Materials"
"ENT","ENTERPRISE METALS LIMITED","2007-06-20","Materials"
"ENV","ENOVA MINING LIMITED","2007-04-13","Materials"
"ENX","ENEGEX LIMITED","2013-10-08","Energy"
"EOF","ECOFIBRE LIMITED","2019-03-29","Pharmaceuticals, Biotechnology & Life Sciences"
"EOL","ENERGY ONE LIMITED","2007-01-15","Software & Services"
"EOS","ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED","2000-10-23","Capital Goods"
"EP1","E&P FINANCIAL GROUP LIMITED","2018-05-14","Diversified Financials"
"EPD","EMPIRED LTD","2007-10-19","Software & Services"
"EPM","ECLIPSE METALS LIMITED.","2011-02-17","Energy"
"EPY","EARLYPAY LTD","2010-02-23","Diversified Financials"
"EQE","EQUUS MINING LIMITED","1995-12-12","Materials"
"EQR","EQ RESOURCES LIMITED","2006-06-06","Materials"
"EQT","EQT HOLDINGS LIMITED","1985-08-06","Diversified Financials"
"EQX","EQUATORIAL RESOURCES LIMITED","1987-05-14","Materials"
"ERA","ENERGY RESOURCES OF AUSTRALIA LIMITED","1980-11-19","Energy"
"ERD","EROAD LIMITED","2020-09-18","Class Pend"
"ERF","ELANOR RETAIL PROPERTY FUND","2016-11-09","Real Estate"
"ERG","ENECO REFRESH LTD","2006-03-29","Food, Beverage & Tobacco"
"ERL","EMPIRE RESOURCES LIMITED","2007-02-01","Materials"
"ERM","EMMERSON RESOURCES LIMITED","2007-12-17","Materials"
"ERW","ERRAWARRA RESOURCES LTD","2020-12-14","Materials"
"ESE","ESENSE-LAB LTD","2017-02-14","Pharmaceuticals, Biotechnology & Life Sciences"
"ESH","ESPORTS MOGUL LIMITED","2011-10-19","Media & Entertainment"
"ESK","ETHERSTACK PLC","2012-09-07","Software & Services"
"ESR","ESTRELLA RESOURCES LIMITED","2012-05-09","Materials"
"ESS","ESSENTIAL METALS LIMITED","2003-12-04","Materials"
"EUC","EUROPEAN COBALT LTD","2011-03-04","Materials"
"EUR","EUROPEAN LITHIUM LIMITED","2010-12-02","Materials"
"EVE","EVE INVESTMENTS LIMITED","2004-04-08","Diversified Financials"
"EVN","EVOLUTION MINING LIMITED","2002-08-20","Materials"
"EVO","EVOLVE EDUCATION GROUP LIMITED","2014-12-05","Consumer Services"
"EVS","ENVIROSUITE LIMITED","2008-02-11","Software & Services"
"EVT","EVENT HOSPITALITY AND ENTERTAINMENT LTD","1962-06-30","Media & Entertainment"
"EVZ","EVZ LIMITED","1985-04-26","Capital Goods"
"EWC","ENERGY WORLD CORPORATION LTD","1988-12-08","Utilities"
"EX1","EXOPHARM LIMITED","2018-12-18","Pharmaceuticals, Biotechnology & Life Sciences"
"EXL","ELIXINOL GLOBAL LIMITED","2018-01-08","Household & Personal Products"
"EXO","ENNOX GROUP LTD","2007-05-18","Diversified Financials"
"EXP","EXPERIENCE CO LIMITED","2015-03-27","Consumer Services"
"EXR","ELIXIR ENERGY LIMITED","2004-07-19","Energy"
"EYE","NOVA EYE MEDICAL LIMITED","1987-10-12","Health Care Equipment & Services"
"EZL","EUROZ LIMITED","1971-08-02","Diversified Financials"
"FAR","FAR LIMITED","1986-01-23","Energy"
"FAU","FIRST AU LIMITED","1970-01-01","Materials"
"FBR","FBR LTD","2001-02-08","Capital Goods"
"FBU","FLETCHER BUILDING LIMITED","2001-03-26","Materials"
"FCL","FINEOS CORPORATION HOLDINGS PLC","2019-08-16","Software & Services"
"FCT","FIRSTWAVE CLOUD TECHNOLOGY LIMITED","2011-05-11","Software & Services"
"FDM","FREEDOM OIL AND GAS LTD","2010-09-08","Energy"
"FDV","FRONTIER DIGITAL VENTURES LIMITED","2016-08-26","Media & Entertainment"
"FDX","FRONTIER DIAMONDS LTD","2018-01-05","Materials"
"FE8","FASTER ENTERPRISES LTD","2016-11-21","Real Estate"
"FEI","FE INVESTMENTS GROUP LIMITED","2004-11-11","Diversified Financials"
"FEL","FE LIMITED","2005-10-13","Materials"
"FEX","FENIX RESOURCES LTD","2008-08-04","Materials"
"FFC","FARMAFORCE LIMITED","2015-10-27","Health Care Equipment & Services"
"FFF","FORBIDDEN FOODS LIMITED","2020-08-31","Food, Beverage & Tobacco"
"FFG","FATFISH GROUP LIMITED","1995-11-23","Diversified Financials"
"FFI","FFI HOLDINGS LIMITED","1987-01-15","Food, Beverage & Tobacco"
"FFR","FIREFLY RESOURCES LIMITED","2006-12-14","Materials"
"FFT","FUTURE FIRST TECHNOLOGIES LTD","2013-12-02","Commercial & Professional Services"
"FFX","FIREFINCH LIMITED","2006-12-06","Materials"
"FGG","FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED","2015-09-10","Not Applic"
"FGL","FRUGL GROUP LIMITED","2004-08-10","Software & Services"
"FGO","FARGO ENTERPRISES LIMITED","1986-07-03","Software & Services"
"FGR","FIRST GRAPHENE LIMITED","1994-08-08","Materials"
"FGX","FUTURE GENERATION INVESTMENT COMPANY LIMITED","1997-03-06","Not Applic"
"FHS","FREEHILL MINING LIMITED.","2017-01-16","Materials"
"FID","FIDUCIAN GROUP LIMITED","2015-02-09","Diversified Financials"
"FIJ","FIJI KAVA LIMITED","2018-12-20","Household & Personal Products"
"FIN","FIN RESOURCES LIMITED","1989-11-02","Materials"
"FLC","FLUENCE CORPORATION LIMITED","2007-12-18","Capital Goods"
"FLN","FREELANCER LIMITED","2013-11-15","Commercial & Professional Services"
"FLT","FLIGHT CENTRE TRAVEL GROUP LIMITED","1995-12-01","Consumer Services"
"FLX","FELIX GROUP HOLDINGS LTD",,"Class Pend"
"FMG","FORTESCUE METALS GROUP LTD","1987-03-19","Materials"
"FML","FOCUS MINERALS LTD","2000-09-13","Materials"
"FMS","FLINDERS MINES LIMITED","2002-02-20","Materials"
"FNP","FREEDOM FOODS GROUP LIMITED","1985-11-07","Food, Beverage & Tobacco"
"FNT","FRONTIER RESOURCES LIMITED","2003-04-09","Materials"
"FNX","FINEXIA FINANCIAL GROUP LIMITED","2006-12-21","Diversified Financials"
"FOD","THE FOOD REVOLUTION GROUP LIMITED","2012-06-29","Food, Beverage & Tobacco"
"FOR","FORAGER AUSTRALIAN SHARES FUND","2016-12-16","Not Applic"
