"ASX code","Company name","Listing date","GICs industry group"
"AGH","ALTHEA GROUP HOLDINGS LIMITED","2018-09-21","Pharmaceuticals, Biotechnology & Life Sciences"
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","2001-12-17","Consumer Services"
"AGJ","AGRICULTURAL LAND TRUST","2003-04-10","Real Estate"
"AGL","AGL ENERGY LIMITED.","2006-10-12","Utilities"
"AGM","AUSTRALIAN GOVERNANCE & ETHICAL INDEX FUND","2018-07-16","Not Applic"
"AGR","AGUIA RESOURCES LIMITED","2008-02-13","Materials"
"AGS","ALLIANCE RESOURCES LIMITED","1994-10-19","Materials"
"AGY","ARGOSY MINERALS LIMITED","1997-04-03","Materials"
"AHC","AUSTCO HEALTHCARE LIMITED","2004-09-24","Health Care Equipment & Services"
"AHF","AUSTRALIAN DAIRY NUTRITIONALS GROUP","2006-06-30","Food, Beverage & Tobacco"
"AHK","ARK MINES LIMITED","2011-05-09","Materials"
"AHN","ATHENA RESOURCES LIMITED","2006-11-22","Materials"
"AHQ","ALLEGIANCE COAL LIMITED","2012-05-29","Materials"
"AHX","APIAM ANIMAL HEALTH LIMITED","2015-12-15","Health Care Equipment & Services"
"AHY","ASALEO CARE LIMITED","2014-06-27","Household & Personal Products"
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","1999-02-22","Transportation"
"AIB","AURORA GLOBAL INCOME TRUST","2007-12-24","Not Applic"
"AIM","ACCESS INNOVATION HOLDINGS LIMITED","2020-09-15","Commercial & Professional Services"
"AIQ","ALTERNATIVE INVESTMENT TRUST","2005-05-08","Not Applic"
"AIR","ASTIVITA LIMITED","2009-12-16","Capital Goods"
"AIS","AERIS RESOURCES LIMITED","2011-02-02","Materials"
"AIV","ACTIVEX LIMITED","2006-04-11","Materials"
"AIY","AUTHORISED INVESTMENT FUND LIMITED","1999-03-19","Not Applic"
"AIZ","AIR NEW ZEALAND LIMITED","1997-10-01","Transportation"
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","2007-03-19","Health Care Equipment & Services"
"AJL","AJ LUCAS GROUP LIMITED","1999-08-10","Capital Goods"
"AJM","ALTURA MINING LIMITED","2001-01-08","Materials"
"AJQ","ARMOUR ENERGY LIMITED","2012-04-26","Energy"
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","1999-12-22","Materials"
"AJY","ASAPLUS RESOURCES LIMITED","2012-11-16","Materials"
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","1977-06-01","Consumer Services"
"AKL","AUCKLAND REAL ESTATE TRUST","2005-09-23","Real Estate"
"AKM","ASPIRE MINING LIMITED","2007-02-06","Materials"
"AKN","AUKING MINING LIMITED","2007-10-29","Materials"
"AKO","AKORA RESOURCES LIMITED","2020-12-15","Class Pend"
"AKP","AUDIO PIXELS HOLDINGS LIMITED","2004-12-24","Consumer Durables & Apparel"
"AL3","AML3D LIMITED","2020-04-20","Capital Goods"
"AL8","ALDERAN RESOURCES LIMITED","2017-06-09","Materials"
"ALC","ALCIDION GROUP LIMITED","2011-06-24","Health Care Equipment & Services"
"ALD","AMPOL LIMITED","1980-12-31","Energy"
"ALF","AUSTRALIAN LEADERS FUND LIMITED","2004-02-10","Not Applic"
"ALG","ARDENT LEISURE GROUP LIMITED","2018-11-30","Consumer Services"
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","2015-07-03","Not Applic"
"ALK","ALKANE RESOURCES LIMITED","1980-10-07","Materials"
"ALL","ARISTOCRAT LEISURE LIMITED","1996-07-09","Consumer Services"
"ALQ","ALS LIMITED","1952-07-18","Commercial & Professional Services"
"ALT","ANALYTICA LIMITED","2000-10-25","Health Care Equipment & Services"
"ALU","ALTIUM LIMITED","1999-08-04","Software & Services"
"ALX","ATLAS ARTERIA","2010-01-25","Transportation"
"ALY","ALCHEMY RESOURCES LIMITED","2007-11-26","Materials"
"AMA","AMA GROUP LIMITED","2006-08-31","Commercial & Professional Services"
"AMC","AMCOR PLC","1969-08-28","Materials"
"AMD","ARROW MINERALS LTD","2005-10-28","Materials"
"AME","ALTO METALS LIMITED","2012-12-20","Materials"
"AMG","AUSMEX MINING GROUP LIMITED","2012-05-03","Materials"
"AMH","AMCIL LIMITED","2000-02-10","Not Applic"
"AMI","AURELIA METALS LIMITED","2007-05-08","Materials"
"AML","AEON METALS LIMITED.","2007-06-14","Materials"
"AMN","AGRIMIN LIMITED","2007-10-09","Materials"
"AMO","AMBERTECH LIMITED","2004-12-10","Technology Hardware & Equipment"
"AMP","AMP LIMITED","1998-06-15","Diversified Financials"
"AMS","ATOMOS LIMITED","2018-12-28","Consumer Durables & Apparel"
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","2007-12-05","Health Care Equipment & Services"
"AMX","AEROMETREX LIMITED","2019-12-10","Commercial & Professional Services"
"ANA","ANSILA ENERGY NL","2012-02-14","Energy"
"AND","ANSARADA GROUP LIMITED","2020-02-14","Software & Services"
"ANG","AUSTIN ENGINEERING LIMITED","2004-03-09","Capital Goods"
"ANL","AMANI GOLD LIMITED","2006-12-14","Materials"
"ANN","ANSELL LIMITED","1985-08-22","Health Care Equipment & Services"
"ANO","ADVANCE NANOTEK LIMITED","2005-02-24","Materials"
"ANP","ANTISENSE THERAPEUTICS LIMITED","2001-12-20","Pharmaceuticals, Biotechnology & Life Sciences"
"ANR","ANATARA LIFESCIENCES LTD","2014-10-16","Pharmaceuticals, Biotechnology & Life Sciences"
"ANW","AUS TIN MINING LTD","2010-10-21","Materials"
"ANX","ANAX METALS LIMITED","2004-06-15","Materials"
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","1969-09-30","Banks"
"AO1","ASSETOWL LIMITED","2011-05-30","Software & Services"
"AOA","AUSMON RESOURCES LIMITED","2009-03-31","Materials"
"AOF","AUSTRALIAN UNITY OFFICE FUND","2016-06-20","Real Estate"
"AON","APOLLO MINERALS LIMITED","2007-10-31","Materials"
"AOP","APOLLO CONSOLIDATED LIMITED","2005-06-29","Materials"
"AOU","AUROCH MINERALS LTD","2011-09-01","Materials"
"APA","APA GROUP","2000-06-13","Utilities"
"APC","AUSTRALIAN POTASH LIMITED","2011-12-20","Materials"
"APD","APN PROPERTY GROUP","2005-06-23","Real Estate"
"APE","EAGERS AUTOMOTIVE LIMITED","1957-04-17","Retailing"
"APG","AUSTPAC RESOURCES NL","1986-07-24","Materials"
"APH","AUSTRALIAN PRIMARY HEMP LIMITED","2003-12-23","Food, Beverage & Tobacco"
"API","AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED","1997-06-16","Health Care Equipment & Services"
"APL","ANTIPODES GLOBAL INVESTMENT COMPANY LTD","2016-10-18","Not Applic"
"APT","AFTERPAY LIMITED","2017-06-29","Software & Services"
"APV","APPSVILLAGE AUSTRALIA LIMITED","2019-08-27","Software & Services"
"APW","AIMS PROPERTY SECURITIES FUND","2004-12-17","Real Estate"
"APX","APPEN LIMITED","2015-01-07","Software & Services"
"APZ","ASPEN GROUP","1991-04-11","Real Estate"
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","1999-12-17","Materials"
"AQD","AUSQUEST LIMITED","2003-11-25","Materials"
"AQI","ALICANTO MINERALS LIMITED","2012-09-19","Materials"
"AQR","APN CONVENIENCE RETAIL REIT","2017-07-27","Real Estate"
"AQS","AQUIS ENTERTAINMENT LIMITED","2011-12-02","Consumer Services"
"AQX","ALICE QUEEN LIMITED","2004-09-09","Materials"
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","2011-12-20","Transportation"
"AR9","ARCHTIS LIMITED","2018-09-21","Software & Services"
"ARA","ARIADNE AUSTRALIA LIMITED","1982-10-12","Commercial & Professional Services"
"ARB","ARB CORPORATION LIMITED.","1987-06-26","Automobiles & Components"
"ARC","AUSTRALIAN RURAL CAPITAL LIMITED","2000-04-14","Diversified Financials"
"ARD","ARGENT MINERALS LIMITED","2008-04-03","Materials"
"ARE","ARGONAUT RESOURCES NL","1986-01-23","Materials"
"ARF","ARENA REIT.","2013-06-13","Real Estate"
"ARG","ARGO INVESTMENTS LIMITED","1963-03-31","Not Applic"
"ARL","ARDEA RESOURCES LIMITED","2017-02-09","Materials"
"ARN","ALDORO RESOURCES LIMITED","2018-09-13","Materials"
"ARO","ASTRO RESOURCES NL","1986-08-14","Materials"
"ARR","AMERICAN RARE EARTHS LIMITED","2011-02-17","Materials"
"ARU","ARAFURA RESOURCES LIMITED","2003-11-05","Materials"
"ARV","ARTEMIS RESOURCES LIMITED","2007-03-16","Materials"
"ARX","AROA BIOSURGERY LIMITED","2020-07-24","Pharmaceuticals, Biotechnology & Life Sciences"
"AS1","ANGEL SEAFOOD HOLDINGS LTD","2018-02-21","Food, Beverage & Tobacco"
"ASB","AUSTAL LIMITED","1998-12-08","Capital Goods"
"ASG","AUTOSPORTS GROUP LIMITED.","2016-11-16","Retailing"
"ASH","ASHLEY SERVICES GROUP LIMITED","2014-08-21","Commercial & Professional Services"
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","2020-07-30","Materials"
